timestamp,altitude(m),battery(%),lat,lon,mode
1747402774.240223,29.571,100,-35.3632625,149.1652376,AUTO
1747402774.7408216,28.976,100,-35.3632625,149.1652376,AUTO
1747402775.241771,28.201,100,-35.3632625,149.1652376,AUTO
1747402775.7430968,27.805,100,-35.3632625,149.1652376,AUTO
1747402776.2438226,27.034,100,-35.3632625,149.1652375,AUTO
1747402776.744561,25.907,100,-35.3632625,149.1652375,AUTO
1747402777.2452137,25.162,100,-35.3632625,149.1652375,AUTO
1747402777.7453694,24.419,100,-35.3632625,149.1652375,AUTO
1747402778.2460685,23.673,100,-35.3632625,149.1652375,AUTO
1747402778.7468126,22.929,100,-35.3632625,149.1652375,AUTO
1747402779.2475443,22.178,100,-35.3632625,149.1652375,AUTO
1747402779.7486765,21.43,100,-35.3632625,149.1652375,AUTO
1747402780.2493572,21.056,100,-35.3632625,149.1652375,AUTO
1747402780.750389,19.931,100,-35.3632625,149.1652375,AUTO
1747402781.2513113,19.183,100,-35.3632625,149.1652375,AUTO
1747402781.7516003,18.437,100,-35.3632625,149.1652375,AUTO
1747402782.2524433,17.684,100,-35.3632625,149.1652375,AUTO
1747402782.7532341,16.934,100,-35.3632625,149.1652375,AUTO
1747402783.2545793,16.183,100,-35.3632625,149.1652375,AUTO
1747402783.7554312,15.433,100,-35.3632625,149.1652375,AUTO
1747402784.2573338,14.685,100,-35.3632625,149.1652375,AUTO
1747402784.7580385,13.939,100,-35.3632625,149.1652375,AUTO
1747402785.2614257,13.186,100,-35.3632625,149.1652375,AUTO
1747402785.762348,12.436,100,-35.3632625,149.1652375,AUTO
1747402786.264073,11.685,100,-35.3632625,149.1652375,AUTO
1747402786.7647042,10.935,100,-35.3632625,149.1652375,AUTO
1747402787.265377,10.231,100,-35.3632625,149.1652375,AUTO
1747402787.7660584,9.75,100,-35.3632625,149.1652375,AUTO
1747402788.2664986,9.482,100,-35.3632625,149.1652375,AUTO
1747402788.7670174,9.263,100,-35.3632625,149.1652375,AUTO
1747402789.2674966,9.03,100,-35.3632625,149.1652375,AUTO
1747402789.7681394,8.784,100,-35.3632625,149.1652375,AUTO
1747402790.2688856,8.532,100,-35.3632625,149.1652375,AUTO
1747402790.7693589,8.281,100,-35.3632625,149.1652375,AUTO
1747402791.270055,8.028,100,-35.3632625,149.1652375,AUTO
1747402791.770551,7.777,100,-35.3632625,149.1652375,AUTO
1747402792.2711945,7.59,100,-35.3632625,149.1652375,AUTO
1747402792.7714942,7.566,100,-35.3632625,149.1652375,AUTO
1747402793.2721071,7.585,100,-35.3632625,149.1652375,AUTO
1747402793.7727754,7.598,100,-35.3632625,149.1652375,AUTO
1747402794.2733247,7.601,100,-35.3632625,149.1652375,AUTO
1747402794.7734652,7.6,100,-35.3632625,149.1652375,AUTO
1747402795.2742276,7.598,100,-35.3632625,149.1652375,AUTO
1747402795.7748682,7.597,100,-35.3632625,149.1652375,AUTO
1747402796.2755713,7.596,100,-35.3632625,149.1652375,AUTO
1747402796.7762442,7.595,100,-35.3632625,149.1652375,AUTO
1747402797.27692,7.595,100,-35.3632625,149.1652375,AUTO
1747402797.7774467,7.594,100,-35.3632625,149.1652375,AUTO
1747402798.278474,7.594,100,-35.3632625,149.1652375,AUTO
1747402798.7792277,7.594,100,-35.3632625,149.1652375,AUTO
1747402799.2795799,7.593,100,-35.3632625,149.1652375,AUTO
1747402799.780295,7.529,100,-35.3632625,149.1652374,AUTO
1747402800.2811518,7.303,100,-35.3632625,149.1652374,AUTO
1747402800.7813225,7.031,100,-35.3632624,149.1652374,AUTO
1747402801.2821012,6.897,100,-35.3632624,149.1652374,AUTO
1747402801.7829583,6.767,100,-35.3632624,149.1652374,AUTO
1747402802.2834494,6.513,100,-35.3632624,149.1652374,AUTO
1747402802.7841446,6.264,100,-35.3632624,149.1652374,AUTO
1747402803.2848942,6.14,100,-35.3632624,149.1652374,AUTO
1747402803.7860212,5.892,100,-35.3632624,149.1652374,AUTO
1747402804.2882023,5.768,100,-35.3632624,149.1652374,AUTO
1747402804.7888734,5.517,100,-35.3632624,149.1652374,AUTO
1747402805.2894726,5.392,100,-35.3632624,149.1652374,AUTO
1747402805.79045,5.142,100,-35.3632624,149.1652374,AUTO
1747402806.2909539,5.017,100,-35.3632624,149.1652374,AUTO
1747402806.7930572,4.768,100,-35.3632624,149.1652374,AUTO
1747402807.2939277,4.519,100,-35.3632624,149.1652374,AUTO
1747402807.7946577,4.394,100,-35.3632624,149.1652374,AUTO
1747402808.295323,4.144,100,-35.3632624,149.1652374,AUTO
